검진기관명	전화번호	주소	위암	간암	대장암	유방암	자궁경부암	폐암	구강검진
리더스영상의학과의원	546-4161	"인천광역시 부평구 체육관로 30 삼산동 이리옴프라자 5층 501, 503, 504, 505호 (삼산동)"	O	O	O	O	O		
서울퍼스트내과의원	511-7588	"인천광역시 부평구 길주로 635 엘림타워 2층 201,202호 (삼산동)"	O	O	O	O	O		
수앤미산부인과의원	513-0147	인천광역시 부평구 체육관로 34 (삼산동)					O		
우리들내과의원	506-8808	"인천광역시 부평구 체육관로 14 301호, 302호, 303호, 304호, 복합시설 (삼산동)"	O	O	O	O	O		
삼성베스트내과의원	710-3964	인천광역시 부평구 길주로 643 4층	O	O	O	O	O		
탁월한내과의원	710-8575	"인천광역시 부평구 체육관로 40 신영프라자 701호, 702호, 703호 (삼산동)"	O	O	O	O	O		
박가정의학과의원	514-4867	"인천광역시 부평구 동수로 168-1 2,3층 (부개동)"	O	O	O	O	O		
에덴여성의원	519-8582	인천광역시 부평구 경인로 1078 (부개동)					O		
평화의원	524-6911	인천광역시 부평구 경인로1104번길 10 (부개동)	O	O	O	O	O		
박현수정형외과의원	507-6222	인천광역시 부평구 수변로 8 파워프라자							
푸른가정의학과의원	361-7600	인천광역시 부평구 부일로 87 송선빌딩 2층							
정드림메디컬의원	528-3114	"인천광역시 부평구 부흥로 412 2, 3층 (부개동)"	O	O		O	O		
삼성가정의학과의원	527-7300	"인천광역시 부평구 길주남로 124 2층 3층 (부개동, 동성빌딩)"							
소망내과의원	330-9999	"인천광역시 부평구 충선로 174 201호 (부개동, 상록빌딩)"	O	O					
부개성누가의원	361-7772	인천광역시 부평구 길주남로 158 3층							
소문난내과의원	362-7572	인천광역시 부평구 부개로 73 2층 (부개동)	O	O	O	O	O		
근로복지공단인천병원	500-0272	인천광역시 부평구 무네미로 446 (구산동) 	O	O	O	O	O	O	
이기섭내과의원	435-7070	인천광역시 부평구 열우물로87번길 16 2층 (십정동)	O	O					
동암우리내과의원	421-5775	인천광역시 부평구 열우물로 54 4층 (십정동)	O						
마루내과의원	435-5600	"인천광역시 부평구 동암남로 4 301호 (십정동, 리치프라자)"	O	O	O	O	O		
서울아산내과의원	429-8272	인천광역시 부평구 동암광장로 14 201호	O	O	O	O	O		
삼성장편한내과의원	433-7588	"인천광역시 부평구 열우물로 90 상가F동 403,404,405,406호 (십정동, 더샵부평센트럴시티)"	O	O	O	O	O		
연세미여성의원	431-7582	"인천광역시 부평구 아트센터로 38 센타빌딩 6층 601호, 602호 (십정동)"					O		
이화산부인과의원	428-3338	인천광역시 부평구 열우물로 45 (십정동)					O		
김윤태치과의원	032-761-4848	인천광역시 동구 화도진로 35 (송현동)							O
남치과의원	032-575-7747	"인천광역시 동구 봉수대로 98 A/302-1호 (송림동, 송림동공구상가)"							O
동인천치과의원	032-761-5942	인천광역시 동구 송화로 3 (화평동)							O
미드림치과의원	032-762-2879	인천광역시 동구 송현로 4 2층 (송현동)							O
백치과의원	032-777-9171	인천광역시 동구 샛골로210번길 9 황금플라자 4층 401~2호 (송림동)							O
비에스치과의원	032-772-2870	"인천광역시 동구 샛골로 212 2,3층 (송림동)"							O
뿌리앤치과의원	032-710-2872	인천광역시 동구 송림로110번길 5-9 3층 (송림동)							O
서울수치과의원	032-773-2872	"인천광역시 동구 송림로 96 401호 (송림동, 송림메디칼빌딩)"							O
세림치과의원	032-766-9697	인천광역시 동구 송림로 102-1 3층 (송림동)							O
세정굿모닝치과의원	032-773-2275	인천광역시 동구 수문통로 54-1 (송현동)							O
솔빛치과의원	032-777-7528	"인천광역시 동구 송현로 38 201호 (송현동, 송현프라자)"							O
송림푸른하늘치과의원	032-773-7528	인천광역시 동구 송미로 7 2층 (송림동)							O
양치과의원	032-766-7528	인천광역시 동구 송림로 108 2층 (송림동)							O
젠치과의원	032-773-1269	인천광역시 동구 송현로 9 (송현동)							O
중앙치과의원	032-773-9148	인천광역시 동구 샛골로 169 (송림동)							O
최재혁치과의원	032-772-2804	"인천광역시 동구 샛골로 120 (송림동, 천광빌딩)"							O
친절한홍치과의원	032-777-7522	인천광역시 동구 송현로 1 송현프라자 2층 (송현동)							O
한울치과의원	032-762-1422	"인천광역시 동구 화수로 38 301호 (송현동, 동부프라자)"							O
현대치과의원	032-773-8333	인천광역시 동구 송림로 100 3층 (송림동)							O
화수치과의원	032-777-2275	"인천광역시 동구 운교로 15 (화수동, 중구농협)"							O
연세스마일치과의원	032-762-2875	"인천광역시 동구 화도진로 16 211~212호 (송림동, 동인천역 파크푸르지오)"							O
이흥우치과의원	032-766-0005	인천광역시 동구 동산로 84-1 이흥우치과의원 (송림동)							O
인천광역시의료원	032-580-6020	인천광역시 동구 방축로 217	O	O	O	O	O	O	O
연세성모의원	032-772-0266	인천광역시 동구 화도진로 183 2층 (만석동)	O	O					
연세제일의원	032-765-6557	"인천광역시 동구 송림로 10 (금곡동, 연세제일의원)"	O	O	O	O	O		
의료법인 성수의료재단 인천백병원	032-777-7050	인천광역시 동구 샛골로 214 (송림동)	O	O	O	O	O	O	
굿모닝내과의원	032-762-0971	"인천광역시 동구 송림로 76 1층, 3층 (송림동)"	O	O	O	O	O		
권의원	032-763-1110	인천광역시 동구 샛골로 142 (송림동)	O	O	O				
동인천내과의원	032-765-5676	"인천광역시 동구 송현로 1 104호 (송현동, 송현프라자)"	O	O	O	O	O		
박영훈내과의원	032-762-0071	인천광역시 동구 송림로 113 3층 (송림동)							
우리내과의원	032-777-3601	"인천광역시 동구 송림로 91 3,4층 (송림동, 동우빌딩)"	O	O	O				
예나산부인과의원	032-765-0050	"인천광역시 동구 송림로 96 601호 (송림동, 송림메디칼빌딩)"					O		
황호연산부인과의원	032-761-3222	인천광역시 동구 샛골로 188 (송림동)					O		
현대의원	032-764-9090	"인천광역시 동구 송림로 80 2층 (송림동, 송림센트럴타워)"							
정내과의원	032-567-8275	"인천광역시 서구 검단로 836 215호 (불로동, 월드메가마트)"	O	O	O				
임내과의원	032-571-0668	인천광역시 서구 가정로 202 (석남동)	O	O	O				
제일가정의원	032-579-2095	"인천광역시 서구 원적로96번길 26 2층 (가좌동, 프라자쇼핑)"							
원당연세메디칼의원	032-566-5060	인천광역시 서구 원당대로 841 (원당동)							
연세산부인과의원	032-566-0001	"인천광역시 서구 원적로 100 604호 (가좌동, 로얄프라자)"					O		
이해림산부인과의원	032-564-1800	"인천광역시 서구 서곶로 355-1 4층 (연희동, 성우빌딩) "					O		
세계로치과의원	032-562-1700	인천 서구 검암동 596-1 5층							O
이편한치과의원	032-571-7528	인천광역시 서구 신석로 79 2층 (석남동)							O
플러스치과의원	032-584-2875	"인천광역시 서구 가정로 363 2층 (신현동, 그린빌딩)"							O
위편한내과의원	032-565-7881	"인천광역시 서구 원당대로 866 301호 (당하동, 세브란스빌딩)"	O	O	O				
검암웰치과의원	032-566-2804	인천 서구 검암동  508-1							O
굿모닝치과의원	032-584-4393	인천광역시 서구 거북로 89 (석남동)							O
하나여성산부인과의원	032-563-8422	"인천광역시 서구 서곶로 293,3층 (심곡동)"					O		
연세열린내과의원	032-579-6090	인천광역시 서구 가정로 201-1 (석남동)	O	O	O	O	O		
연희수치과의원	032-421-2828	인천광역시 서구 간촌로 4 (연희동)							O
세이프치과의원	032-571-2080	"인천광역시 서구 원적로100번길 24, 2층 (가좌2동)"							O
신석치과의원	032-572-6000	"인천광역시 서구 가정로 317 에이동 302호 (석남동, 두성상가)"							O
이안치과의원	032-569-2825	인천광역시 서구 완정로 60 (마전동)							O
안용진내과의원	032-562-1430	"인천광역시 서구 완정로 187 2,5,6층 (왕길동)"	O	O	O	O			
미래치과의원	032-564-2833	"인천광역시 서구 검단로 836 219호 (불로동,월드메가마트)"							O
강남치과의원	032-584-7528	"인천광역시 서구 가정로 308, (석남동)"							O
참고은치과의원	032-578-7522	인천광역시 서구 가정로 127 (가좌동)							O
예은치과의원	032-575-5294	인천 서구 가정2동 504-7 서인천상가 201호							O
석남치과의원	032-575-5995	인천광역시 서구 가정로 201-1 (석남동)							O
검암연세치과의원	032-564-0275	인천광역시 서구 승학로 498 (검암동)							O
르네상스치과의원	032-576-7528	인천 서구 가좌3동 122-2번지							O
이튼치과의원	032-564-2242	인천광역시 서구 원당대로 865 대산프라자 304호 (원당동)							O
유아이씨세정치과의원	032-569-2828	인천광역시 서구 원당대로 866 (당하동)							O
노블치과의원	032-569-2804	"인천광역시 서구 완정로 35 201호 (마전동, 대운프라자)"							O
불로치과의원	032-567-8975	인천 서구 불로동 375번지 1호 (5층)							O
온누리병원	032-567-6200	인천 서구 왕길동 635-1	O	O	O	O	O		
이앤미치과의원	032-564-2811	인천광역시 서구 서곶로 818 (당하동)							O
이정우치과의원	032-562-2875	인천광역시 서구 완정로 187 5층 (왕길동)							O
예스치과의원	032-565-2204	인천 서구 마전동 검당2지구 24블럭 18롯트							O
서울현대치과의원	032-563-7528	인천광역시 서구 완정로 179 (왕길동)							O
모아치과의원	032-572-2800	인천 서구 가좌1동 118번지							O
한솔치과의원	032-577-2875	인천광역시 서구 원적로96번길 26 (가좌동)							O
수서울치과의원	032-561-2872	"인천광역시 서구 승학로 567, (검암동)"							O
현치과의원	032-568-2875	인천 서구 심곡동  246번지							O
미추홀치과의원	032-882-2875	"인천광역시 서구 검단로 500 701호 (마전동, 플러스빌딩)"							O
정순민치과의원	032-575-9701	"인천광역시 서구 가정로 364-1 2층 (가정동, 창대빌딩)"							O
인치과의원	032-582-2875	인천광역시 서구 율도로 32-32 (석남동)							O
이사랑부부치과의원	032-567-7528	인천 서구 불로동312-2 신명상가 2층							O
부치과의원	032-565-2568	인천광역시 서구 검단로609번길 15 (마전동)							O
보스톤클래식치과의원	032-561-2875	인천 서구 마전동 698-4번지							O
검단탑치과의원	032-565-2875	"인천광역시 서구 청마로19번길 5,(당하동)"							O
박윤현치과의원	032-863-0088	인천 서구 가좌동 122							O
오승훈치과의원	032-564-3948	인천광역시 서구 가정로 388 (가정동)							O
미소담치과의원	032-567-2275	인천광역시 서구 승학로 587 (검암동)							O
연세플러스치과의원	032-573-2275	인천광역시 서구 건지로 402 (가좌동)							O
속편안내과의원	032-561-6060	"인천광역시 서구 완정로 70 2층 (마전동, 영남탑스빌 웰빙타운)"	O	O	O				
아이비치과의원	032-562-2879	인천광역시 서구 경서로69번길 12 (경서동)							O
연세림치과의원	032-564-2875	인천 서구 심곡동 247번지 3호							O
연세조아치과의원	032-567-9975	"인천광역시 서구 완정로 36 2,3층 일부호 (마전동, 한성빌딩)"							O
이플러스치과의원	032-565-7528	인천광역시 서구 이음5로 30 연세프라자9 301~303호 (원당동) 							O
고영승이비인후과의원	032-568-7585	"인천광역시 서구 완정로 179 4층 (왕길동, 검단메디컬프라자)"							
사과치과의원	032-576-2804	"인천광역시 서구 장고개로337번길 16 401동 303~305호 (가좌동, 한신휴플러스단지내상가)"							O
예미담치과의원	032-667-2828	"인천광역시 서구 청라라임로 71 진영메디피아 403,404,406호 (청라동)"							O
임내과의원	032-571-0668	"인천광역시 서구 가정로 202,(석남동)"	O	O	O				
오세건치과의원	032-577-1838	인천 서구 신현동  283-2							O
안앤정치과의원	032-568-2275	"인천광역시 서구 청라라임로 51 201~203호 (연희동, 청라에일린의뜰)"							O
새하늘치과의원	032-584-2022	인천광역시 서구 서달로 151 (석남동)							O
서인천연합치과의원	032-576-5340	"인천광역시 서구 서달로149번길 12-11,(석남동)"							O
세계로치과의원	032-562-1700	인천광역시 서구 서곶로 543 5층 (검암동)							O
미소담은치과의원	032-578-7528	인천광역시 서구 원적로 96 (가좌동)							O
드림라인치과교정과치과의원	032-567-2885	"인천광역시 서구 원당대로 660 501호 (당하동, 영프라자)"							O
신현굿모닝치과의원	032-578-2842	"인천광역시 서구 석곶로 7-2, 2층 (가정동)"							O
금산부인과의원	032-569-0880	인천광역시 서구 승학로 528 (검암동)					O		
이사랑부부치과의원	032-567-7528	인천광역시 서구 검단로 834 (불로동)							O
행복드림치과의원	032-567-7082	인천광역시 서구 청라에메랄드로102번길 8 (연희동)							O
연세가정의학과의원	032-563-5575	"인천광역시 서구 단봉로 107 3층 301호 (왕길동, 성우프라자)"							
송앤정치과의원	032-564-2754	"인천광역시 서구 단봉로 107,302호 (왕길동, 성우프라자)"							O
인천수내과의원	032-584-5599	인천광역시 서구 가정로394번길 1 (가정동)	O	O					
청라탑치과의원	032-567-2804	"인천광역시 서구 중봉대로586번길 22 B동 203,204호 (연희동, 청라엑슬루타워상가)"							O
인천연세병원	032-561-3457	인천광역시 서구 승학로 320 (연희동)	O	O	O	O			
하이큐연희내과의원	032-568-2220	"인천광역시 서구 서곶로 355-1 2,3,5층 (연희동)"	O	O	O	O	O		
하이큐홍내과의원	032-582-5430	"인천광역시 서구 원적로 100 4층 (가좌동, 가좌로얄프라자)"	O	O	O	O	O		
연세항외과의원	032-568-2259	"인천광역시 서구 검단로 474 뷰비스타운 501~502호, 505~506호 (왕길동)"	O		O				
양영표내과의원	032-576-9164	"인천광역시 서구 가정로 364-1 3층 (가정동, 창대빌딩)"	O	O					
손태용내과의원	032-572-0046	"인천광역시 서구 건지로 264 303,304호 (가좌동)"		O					
삼성의원	032-575-4535	인천광역시 서구 건지로 264 205호 (가좌동)	O	O					
열린치과의원	032-567-2405	"인천광역시 서구 완정로 170 2층 (마전동, 광성빌딩)"							O
행복담은샘치과의원	032-574-2828	"인천광역시 서구 검단로 480, 4층 (왕길동)"							O
스마트치과의원	032-202-7272	인천광역시 서구 가정로 370 3층 (가정동)							O
청라건강한내과의원	032-567-8009	"인천광역시 서구 청라라임로 71 5층 (청라동, 진영메디피아) "	O	O	O	O	O		
파스텔치과의원	032-563-2080	"인천광역시 서구 완정로 61 3층 (마전동, 윤성프라자)"							O
타임치과의원	032-566-7475	"인천광역시 서구 원당대로 841, (원당동)"							O
모드니치과의원	032-568-2735	"인천광역시 서구 중봉대로 587 지하2층 (경서동, 홈플러스 청라점)"							O
청라리더스치과의원	032-563-2875	인천 서구 경서동976-47 (3층)							O
원치과의원	032-583-0275	인천광역시 서구 고래울로 4 (가좌동)							O
우리들산부인과의원	032-562-8228	"인천광역시 서구 완정로 187 3층 (왕길동, 마전메디칼센타) "					O		
참조은박치과의원	032-561-2879	"인천광역시 서구 완정로 31,3층 302호(마전동, 동아프라자 )"							O
이사랑치과의원	032-579-9944	인천광역시 서구 길주로 90 2층 (석남동)							O
닥터함치과의원	032-575-0075	인천광역시 서구 가정로 374 (가정동)							O
속편한외과의원	032-719-8740	인천광역시 서구 탁옥로 45 (심곡동)	O	O	O				
속편한의원	032-719-8740	인천광역시 서구 탁옥로 45 (심곡동)	O	O	O				
청라오치과의원	032-569-2855	"인천광역시 서구 청라라임로 65 403호 (연희동, 라임타워)"							O
JS노송병원	032-516-5000	"인천광역시 서구 가정로 280 2~5층, 7층 (석남동)"	O	O	O				
연세권치과의원	032-584-2804	"인천광역시 서구 가정로 375 309호 (신현동, 금강아미움)"							O
맑은미소치과의원 (청라)	032-566-2879	인천광역시 서구 솔빛로 86 2층 (경서동)							O
서울리더스치과의원	032-566-1275	"인천광역시 서구 승학로 497 301,302호 (검암동, 검암프라자)"							O
우리편한내과의원	032-577-1195	"인천광역시 서구 가정로 375 405,406호 (신현동, 금강아미움)"	O	O	O	O	O		
코안이비인후과의원	032-773-8275	"인천광역시 서구 서곶로 823 2층 (당하동, 송산프라자1)"							
서울보스톤치과의원	032-575-2801	"인천광역시 서구 건지로 402 (가좌동, 한신휴플러스상가 402동 302,303호)"							O
웰치과의원	032-567-1410	인천광역시 서구 심곡로49번길 1 (심곡동)							O
청라이플란트치과의원	032-715-4587	인천광역시 서구 중봉대로 602 105호 (연희동)							O
지오웰치과의원	032-568-7528	"인천광역시 서구 원당대로 581 2층 (마전동, 롯데마트)"							O
청라여성병원	032-716-6000	"인천광역시 서구 중봉대로 602 2~6층,9층 (청라동)"	O	O	O	O	O		
청라여성병원	032-716-6000	"인천광역시 서구 중봉대로 602 2~6,9층 (연희동)"	O	O	O	O	O		
강화치과의원	032-934-2804	인천광역시 강화군 강화읍 강화대로404번길 5 6층							O
청라아트치과의원	032-572-2805	"인천광역시 서구 중봉대로 588 901,902호 (연희동, 청라센트럴프라자)"							O
보아스이비인후과의원	032-563-2297	"인천광역시 서구 승학로 497 204호 (검암동, 검암프라자)"							
연희보스톤치과의원	032-562-2825	인천광역시 서구 탁옥로 55 203호 (심곡동)							O
이엔치과의원	032-282-2875	인천광역시 서구 가정로 212 5층 (석남동)							O
마전참사랑의원	032-566-0172	인천광역시 서구 마전로5번길 22-1 2층 (마전동)							
가좌성모의원	032-573-7582	"인천광역시 서구 장고개로 283 지하1층, 1층 일부호 (가좌동)"							
다이아치과의원	032-565-2204	인천광역시 서구 완정로 70 (마전동)							O
브라이트치과의원	032-565-2204	인천광역시 서구 완정로 70 (마전동)							O
닥터케어스치과의원	032-566-2080	인천광역시 서구 중봉대로612번길 10-17 청라 타워돔 309호 (연희동)							O
청라리더스치과의원	032-563-2875	인천광역시 서구 솔빛로 82 3층 (경서동)							O
맑은미소치과의원	032-567-2879	"인천광역시 서구 봉오재3로 40 2층 201호 (가정동, 가정프라자)"							O
신현윤치과의원	032-581-2824	"인천광역시 서구 원창로 174,2층 (신현동)"							O
강남산부인과의원	032-569-3582	"인천광역시 서구 검단로 474 405호, 406호 (왕길동, 뷰비스타운)"					O		
올바른치과의원	032-575-2879	"인천광역시 서구 가정로394번길 1 3층 302호 (가정동, 백천빌딩)"							O
청라치과의원	032-584-2828	"인천광역시 서구 크리스탈로74번길 31 503,504,505호 (경서동, 월드프라자)"							O
조은내일치과병원	032-564-3500	인천광역시 서구 승학로 250 (심곡동)							O
길벗내과의원	032-576-5900	"인천광역시 서구 청라라임로 65 4층 409,410호 (연희동, 라임타워)"	O	O	O				
김준영치과의원	032-562-7575	인천광역시 서구 완정로 160 2층 (마전동)							O
검단나은의원	032-590-5700	"인천광역시 서구 검단로 508 3층 (마전동, 이지준프라자)"	O	O	O	O	O		
다정한내과의원	032-562-7511	"인천광역시 서구 크리스탈로74번길 31 월드프라자 403,404,406호 (청라동)"	O	O	O	O	O		
착한마디병원	032-1577-9782	"인천광역시 서구 완정로 180 2,3,4,5층 (마전동, 동화빌딩)"							
가좌우리내과의원	032-576-8575	인천광역시 서구 고래울로 29 (가좌동)							
나은미소치과의원	032-568-2270	"인천광역시 서구 검단로 508 401, 402호 (마전동, 이지준프라자)"							O
청라다온치과의원	032-563-2804	"인천광역시 서구 청라루비로 93 303, 304호 (경서동, 루비타워)"							O
두진규치과의원	032-581-1443	인천광역시 서구 원적로 100 6층 (가좌동)							O
청라퍼스트치과의원	032-575-2875	"인천광역시 서구 청라커낼로 264 504호, 505호 (경서동, 청라두손중앙프라자)"							O
청라우림치과의원	032-564-2285	"인천광역시 서구 중봉대로 610 503~504호 (연희동, 마루힐프라자)"							O
강플란트치과의원	032-562-1128	"인천광역시 서구 원당대로 660 1001호 (당하동, 영플라자)"							O
참플란트치과의원	032-277-7528	인천광역시 서구 가정로308번길 2 302호 (석남동)							O
인천센터치과의원	032-577-2870	"인천광역시 서구 가정로 280 노송병원 6층 601 일부호, 602호 (석남동) "							O
새빛튼튼의원	032-561-8915	"인천광역시 서구 고산후로95번길 20 힘찬프라자 301,302호 (당하동)"							
다봄내과의원	032-564-1575	"인천광역시 서구 승학로 491 3층 (검암동, 고산빌딩)"	O	O	O	O	O		
검암우리손내과의원	032-561-7075	인천광역시 서구 승학로 498 서해프라자 301~304호 (검암동)	O	O	O	O	O		
청라국제병원	032-577-8275	"인천광역시 서구 청라에메랄드로102번길 8 (청라동, 우성메디피아 2층,4층일부)"	O	O	O				
굿드림치과의원	032-272-2828	"인천광역시 서구 가정로 386 3층 (가정동, 신협)"							O
한결치과의원	032-567-2873	"인천광역시 서구 청라에메랄드로 78 301,302호 (연희동)"							O
서곶이좋은치과의원	032-566-1345	"인천광역시 서구 서곶로 300 202호 (심곡동, 엄지빌딩)"							O
임성식 내과의원	032-932-3375	인천광역시 강화군 강화읍 강화대로 395 준프라자 빌딩 3층	O	O	O				
신현승내과의원	032-582-8575	"인천광역시 서구 원적로 85 (가좌동, 우신프라자)"	O	O	O	O			
서울탑프란트치과의원	032-574-2754	인천광역시 서구 가정로 379 (신현동)							O
서울미소치과의원	032-205-2828	"인천광역시 서구 장고개로337번길 13 10동 2층 1호,2호 (가좌동)"							O
김경현내과의원	032-564-7515	"인천광역시 서구 완정로 36 2층 일부호 (마전동, 한성빌딩)"	O	O	O				
프라임치과의원	032-288-2828	"인천광역시 서구 가정로 437 301동 208~209호 (가정동, 루원시티 SK Leaders' VIEW)"							O
그린산부인과의원	032-574-3535	인천광역시 서구 건지로 371 (가좌동)				O	O		
우리탑내과의원	032-565-8789	"인천광역시 서구 검단로 480 검단리치웰프라자 206,207호 (왕길동)"	O	O	O				
서울삼성치과의원	032-567-5755	"인천광역시 서구 중봉대로 588 청라센트럴프라자 303,304,305호 (청라동) "							O
서울원누리치과의원	032-710-7522	인천광역시 서구 중봉대로586번길 9-4 쓰리엠타워 407호 (연희동)							O
더바른치과의원	032-562-2275	인천광역시 서구 봉오재3로 44 명문프라자 3층 (가정동)							O
인천수내과의원	032-584-5599	인천광역시 서구 가정로394번길 1 (가정동)							
유승진내과의원	032-566-0111	인천광역시 서구 봉오재3로 90 한일골드타워 301호 (가정동)	O	O	O				
